cases.0.project.project_id,cases.0.samples.0.sample_id,cases.0.submitter_id,file_id,file_name,id
TCGA-BRCA,5754d368-87b9-40e5-9a56-bd48ad9a80e3,TCGA-AR-A24M,5645320f-820e-45b7-b4cf-ea05085f53e3,bb06ad3a-4d73-4f88-8f3c-954dce2b38ef.rna_seq.augmented_star_gene_counts.tsv,5645320f-820e-45b7-b4cf-ea05085f53e3
TCGA-BRCA,0f0cca8e-770c-45df-a6cc-466cc9328637,TCGA-E9-A22A,f9432d83-a322-4f5b-9c45-7dad736005a4,c1f95e8e-aaaa-4090-8f64-c619aa543d1b.rna_seq.augmented_star_gene_counts.tsv,f9432d83-a322-4f5b-9c45-7dad736005a4
TCGA-BRCA,55906ee0-a385-4ec9-8515-90ab613eca35,TCGA-BH-A0BZ,3d075fc4-5a01-47ce-bef0-a77acf71061d,707fad7d-f284-456a-abfa-17289b40579f.rna_seq.augmented_star_gene_counts.tsv,3d075fc4-5a01-47ce-bef0-a77acf71061d
TCGA-BRCA,f411d1ba-697f-4759-afb1-89eaa56e6da7,TCGA-A8-A07F,fc0e74d2-ab94-48b1-8e31-808bde7a3fe6,3f3b6a7b-94f0-40a3-9f16-32bab2854678.rna_seq.augmented_star_gene_counts.tsv,fc0e74d2-ab94-48b1-8e31-808bde7a3fe6
TCGA-BRCA,1940c04b-a08a-4cce-9915-483656d5b4c3,TCGA-B6-A0WT,7ff8696e-3809-4b96-9259-be654631d952,db01aba1-3a00-4bf9-9f24-8fba144144f3.rna_seq.augmented_star_gene_counts.tsv,7ff8696e-3809-4b96-9259-be654631d952
TCGA-BRCA,d9de9f71-2b39-4d21-9c93-8e199080c011,TCGA-C8-A12Y,73edea85-f978-4c99-b9c3-fda3ffc6a065,f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f.rna_seq.augmented_star_gene_counts.tsv,73edea85-f978-4c99-b9c3-fda3ffc6a065
TCGA-BRCA,d78ecfd3-1a99-47e6-bb5f-a13c57148a76,TCGA-AN-A0FF,c00ad8a9-ed1d-4289-aa62-3e64cb574205,b47b2efb-02e1-4729-95ad-de05fb551bc7.rna_seq.augmented_star_gene_counts.tsv,c00ad8a9-ed1d-4289-aa62-3e64cb574205
TCGA-BRCA,5cd62b0e-902e-492c-843d-5d8aa6964dc5,TCGA-BH-A1F5,d657ed9a-fd92-493c-ae10-120c8b0c58d7,57730033-1db5-4e48-81ff-b6ee4f3c0ab4.rna_seq.augmented_star_gene_counts.tsv,d657ed9a-fd92-493c-ae10-120c8b0c58d7
TCGA-BRCA,4c6bdfb2-3438-4216-b76d-d87c386bfa96,TCGA-D8-A1Y2,d5586fdb-d796-4176-84e3-11a72124b41f,f7efa9c4-e7e2-406a-98e5-596f787c810e.rna_seq.augmented_star_gene_counts.tsv,d5586fdb-d796-4176-84e3-11a72124b41f
TCGA-BRCA,930b82a6-a039-4f8f-8487-b0abb4fe7aba,TCGA-BH-A0B6,81801e72-d293-42e0-8871-5468e33b6d89,08ccd8d6-3e9d-4ece-a421-98acaf272569.rna_seq.augmented_star_gene_counts.tsv,81801e72-d293-42e0-8871-5468e33b6d89
TCGA-BRCA,7b2cc917-cd91-486b-bb9b-4c57cf4e86e0,TCGA-A8-A093,56be281f-e85c-4dcb-9d75-cd9ae3430bbe,92e7a9c0-ea88-419e-9afa-e7db5c8967b5.rna_seq.augmented_star_gene_counts.tsv,56be281f-e85c-4dcb-9d75-cd9ae3430bbe
TCGA-BRCA,1cb37b69-c0a9-4b5c-baf5-4107d0e029ad,TCGA-E2-A1B1,0e62a6d0-87a7-4efc-922f-753328694458,c5d4a1ed-8fd3-4435-96f5-ea5e56326f20.rna_seq.augmented_star_gene_counts.tsv,0e62a6d0-87a7-4efc-922f-753328694458
TCGA-BRCA,f9029956-e7fb-447a-9b6a-ea3dd2acadf4,TCGA-AR-A255,be65c37e-7aa8-466d-a1fe-102e8e25e2e9,35120b68-e618-46a1-9641-1e635f633372.rna_seq.augmented_star_gene_counts.tsv,be65c37e-7aa8-466d-a1fe-102e8e25e2e9
TCGA-BRCA,7daa9124-2878-4708-ae74-28b17ef4898c,TCGA-B6-A0WX,f2a4b38d-bfc0-4363-9a58-b5fa2af26ff3,4665ff5e-adb6-4b88-8a42-cb25c4fda0a0.rna_seq.augmented_star_gene_counts.tsv,f2a4b38d-bfc0-4363-9a58-b5fa2af26ff3
TCGA-BRCA,2556d93d-9252-4248-a044-91deaa7f02df,TCGA-EW-A1J2,71ea0cc0-d979-4efd-a670-1e8e8a329aca,0394cdb2-85e8-4cea-b572-4cb4ed779774.rna_seq.augmented_star_gene_counts.tsv,71ea0cc0-d979-4efd-a670-1e8e8a329aca
TCGA-BRCA,c0c04ba3-7fdf-47f3-8750-a487639a76df,TCGA-A1-A0SP,222b562a-3ef7-4e69-a60d-54aac5104102,e0527b4b-de23-4b9f-8871-13f64f6976cd.rna_seq.augmented_star_gene_counts.tsv,222b562a-3ef7-4e69-a60d-54aac5104102
