histological_diagnosis_label,Unknown
Malignant Breast Phyllodes Tumor,1
Papillary lung adenocarcinoma,1
Pleomorphic Carcinoma,1
Liposarcoma,1
Invasive Cribriform Breast Carcinoma,1
Cholangiocarcinoma,1
Giant Cell Sarcoma,1
Sarcomatoid Squamous Cell Carcinoma,1
Endometrial adenocarcinoma,1
Skin Basal Cell Carcinoma,1
Oxyphilic Adenocarcinoma,1
Desmoplastic Mesothelioma,1
Desmoid-Type Fibromatosis,1
Spitz Nevus,1
Abdominal (Mesenteric) Fibromatosis,1
